Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
MAJA - STOŁÓWKA," KATERING,HANDEL ARTYKUŁAMI SPOŻYWCZYMI MARZENA KONIECZNY,Wprowadzenie przez firmę ""MAJA"" stołówka, catering, handel artykułami spożywczymi Marzena Konieczny wyrobów garmażeryjnych pakowanych w słoiki - projektrealizowany w regionie śląskim",ŚLĄSKIE,Międzyświeć,Cieszyńska,69,43-430,441769.25
"JÓZEF SZOTA FIRMA HANDLOWO USŁUGOWA ""JEMES""","Inwestycja na terenie województwa śląskiego w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nowe usługi w lokalu U Taty poprzez budowę i wyposażenie ogrodu letniego oraz tarasu do organizacji imprez plenerowych, celem pozyskania nowych klientów.",ŚLĄSKIE,Zawiercie,Strumień,39,42-400,309370.72
PATIO 3 MONIKA KOŁODZIEJCZAK,Rozwinięcie profilu działalności firmy o otworzenie Kina Plenerowego i wypożyczalni rowerów oraz rozszerzenie świadczonych usług dla gości woj. Śląskie (REGION 4),ŚLĄSKIE,Katowice,Tadeusza Kościuszki,352,42-690,414000.01
"Przedsiębiorstwo Usługowe ""MARBUD"" Marcin Gajewicz",Rozwój działalności przedsiębiorstwa w branży gastronomicznej poprzez inwestycję w infrastrukturę i szkolenia pracowników.,ŁÓDZKIE,Kutno,Kasztanowa,15,99-300,228268.96
Cybermachina Michał Gomoła,Inwestycja na terenie województwa śląskiego w zwiększenie odporności przedsiębiorstwa Cybermachina poprzez rozszerzenie i dywersyfikację działalności lokalu polegającą na dodaniu innowacyjnej formy integracji dla firm oraz możliwości organizacji konferencji,ŚLĄSKIE,Katowice,św. Jana,10,40-012,240894.83
"Firma Produkcyjno-Handlowo-Usługowa ""JABOR"" Jan"," Jarosław i Maciej Czajkowscy,Rozszerzenie działalności firmy Firma Produkcyjno-Handlowo-Usługowa ""JABOR"" Jan, Jarosław i Maciej Czajkowscy w regionie 4 – opolskie po przez wdrożenie nowej usługi hotelowej w postaci spa oraz oferty dla biznesu.",OPOLSKIE,Namysłów,Oławska,36A,46-100,444000
Chata Olimpijczyka Jasia i Helenki kuchnia regionalna i włoska HELENA LEGIERSKA JAN LEGIERSKI S.C.,Mobilna Chata Olimpijczyka - regionalna kuchnia z Wisły w woj. śląskim dostępnaw całej Polsce.,ŚLĄSKIE,Wisła,al. Księdza Biskupa Juliusza Bursche,33,43-460,490251
"Firma Usługowo - Handlowa ""P. IWO"" Iwo Gnieciak","Rozszerzenie działalności firmy Firma Usługowo - Handlowa ""P. IWO"" Iwo Gnieciak w regionie 4 – opolskie po przez uruchomienie stacji ładowania pojazdów elektrycznych oraz wypożyczalni rowerów.",OPOLSKIE,Chrząstowice,Opolska,15,46-053,198636.45
Zajazd Pod Borem Tomasz Bitner,Dywersyfikacja działalności firmy Zajazd Pod Borem Tomasz Bitner w regionie 4 –opolskie po przez wdrożenie usługi gastronomicznej dla podmiotów prywatnych i publicznych.,OPOLSKIE,Pokój,Namysłowska,28,46-034,409588.14
RESTAURACJA TRZECH BRACI DOROTA STASZKIEWICZ,Nowe usługi turystyki medycznej w województwie śląskim,ŚLĄSKIE,Cieszyn,Motelowa,1A,43-400,327681.39
"P.P.H.U. ""TOPAZ"" ADAM MUSIAŁ",Inwestycja na terenie województwa śląskiego w zwiększenie odporności i konkurencyjności restauracji Złoty Bażant oraz rozszerzenie działalności gospodarczej o nowe usługi poprzez rozbudowę bazy produkcyjnej i przestrzeni użytkowej celem przyciągnięcia nowych klientów.,ŚLĄSKIE,Bonowice,,99,42-445,335368.68
Katarzyna Heller Pod Królem Polskim,Od odporności do rozwoju: Dywersyfikacja działalności jako klucz do sukcesu wczasach pandemii,ŚLĄSKIE,Cieszyn,Wyższa Brama,10,43-400,260887.41
Mateusz Myśliwczyk Usługi Turystyczne,"Rozwój firmy Mateusz Myśliwczyk – Usługi Turystyczne działającej na terenie województwa opolskiego poprzez dywersyfikację jej usług: budowa dwóch domków rekreacyjnych w celu ich wynajmu, zakup wyposażenia, zakup oprogramowania do zarządzania rezerwacjami wraz ze szkoleniami podnoszącymi kwalifikacje właściciela oraz doposażenie domków w instalację fotowoltaiczną.",OPOLSKIE,Chocianowice,,262,46-280,538573.07
"PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNE ""UNITURIST"" Sp. z o.o.","Rozszerzenie oferty usług aktywnego wypoczynku w Górskim OśrodkuWypoczynkowym ""POŁONINA"" w Korbielowie ( region 4, województwo śląskie )",ŚLĄSKIE,Korbielów,Szczyrbok,56,34-335,339534
MARIOSPORT SIEMASZ MARIUSZ,Wyższy poziom - nowoczesne zawody pływackie Region 4,ŚLĄSKIE,Cieszyn,Orla,29,43-400,194527
Dorota Marciniak,Rozszerzenie oraz dywersyfikacja prowadzonej działalności- Willa Bieńkula w Szczyrku poprzez nową usługę - utworzenie wypożyczalni rowerów elektrycznych (region 4-śląskie).,ŚLĄSKIE,Szczyrk,Narciarska,11,43-370,178216.9
MAJAL Zbigniew Woszczyna,"Dywersyfikacja działalności lokalu Jazz Club Muzeum przez wprowadzenie nowych usług: organizacja konferencji, spotkań firmowych i rodzinnych, cyklicznych jam sessions, wynajem sceny i sprzętu scenicznego oraz obsługa dźwiękowa i oprawa świetlna imprez, zwiększając konkurencyjność i stabilność przedsiębiorstwa (region4 - śląskie)",ŚLĄSKIE,Jaworzno,Pocztowa,5,43-600,126450.86
"P.M.U. ""MANAGER-POL"" S.C.S.OLCHAWA"," A.KYRCZ,Dywersyfikacja działalności gospodarczej P.M.U. ""MANAGER-POL"" S.C. S.OLCHAWA,A.KYRCZ poprzez znaczące ulepszenie usług gastronomicznych oraz nowe usługiSPA oraz catering (obszar 4 - Śląskie)",ŚLĄSKIE,Zabrze,pl. Plac Warszawski,5,41-800,415608.03
K&M MANAGEMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Hotel Mazowiecki - wzmocnienie pozycji konkurencyjnej legendarnej marki hotelowej z regionu łódzkiego.,ŁÓDZKIE,Łódź,28 Pułku Strzelców Kaniowskich,53/57,90-640,437914.34
BUS-CENTRUM PAWEŁ WÓJCIK,"Dywersyfikacja działalności firmy BUS-CENTRUM Paweł Wójcik poprzez zakup infrastruktury sprzętowej pozwalającej na wprowadzenie nowych produktów kateringowych dla odbiorców zewnętrznych, takich jak szpitale, szkoły, przedszkola i firmy zewnętrzne, zabezpieczających firmę na wypadek przyszłych kryzysów Region 4, województwo opolskie.",OPOLSKIE,Opole,Szpitalna,13,45-010,428664.95
Namioty Brol Daniel Brol,"Wdrożenie nowych produktów: organizacja targów, wystaw i imprez im towarzyszących oraz wynajmu infrastruktury dla organizatorów targów, wystaw i imprez im towarzyszących odbywających się w województwie opolskim.",OPOLSKIE,Gronowice,,94a,46-280,539939.97
La Cantina Jolanta Zakordoniec Spółka Jawna,La Cantina - dywersyfikacja oferty gastronomicznej w Dolinie Trzech Stawów w Katowicach,ŚLĄSKIE,Katowice,Trzech Stawów,22,40-289,472713.71
KASPEC-TAJWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wprowadzenie usług z zakresu poprawy kondycji fizycznej skierowanych dla mieszkańców subregionu południowego województwa opolskiego.,Opolskie,Nysa,3 Maja,34,45-303,539201.4
OPOLANKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Nowoczesna usługa cateringowa na mapie terenu powiatu opolskiego.,OPOLSKIE,Opole,Dworska,2,45-843,475761.1
Roman Szyja Joker Club,Modernizacja i rozbudowa obiektu restauracji JOKER CLUB w Tychach,ŚLĄSKIE,Tychy,Boczna,4,43-100,443443.7
AMADEO - PAULINA I DARIUSZ ZAJĄC SPÓŁKA CYWILNA,"Dywersyfikacja oferty cukierni Amadeo w Chorzowie w woj. śląskim polegająca na wprowadzeniu nowych produktów cukierniczych własnego wyrobu, oferty menu śniadaniowego oraz usługi cateringowej obejmującej wszystkie wyroby własne oraz stworzenie w altanach stanowiska do dystrybucji lodów rzemieślniczych.",ŚLĄSKIE,Chorzów,Wolności,66,41-500,292417.12
NOBEL SUITES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Nobel Suites Sp. z o. o. poprzez inwestycje w sektorze HoReCa dla Regionu 4 - województwo śląskie.,ŚLĄSKIE,Szczyrk,Jodłowa,21,43-370,447581.43
WŁOSKIE PODRÓŻE S.C. S. LEGUT," M. LEGUT,Dywersyfikacja i rozwój działalności firmy Włoskie Podróże s.c. (Region 4 - opolskie)",OPOLSKIE,Głuchołazy,Aleja Jana Pawła II,3,48-340,108583.65
RADZIMSKA KRYSTYNA LOTY.PL PODRÓŻE I UBEZPIECZENIA,Rozszerzenie działalności firmy z województwa śląskiego poprzez wprowadzenie do oferty nowego produktu,ŚLĄSKIE,Toszek,Gliwicka,32,44-180,218338.6
PRZEDSIĘBIORSTWO WIELOBRANŻOWE SENATOR JANUSZ WALECKI,Śląska Sala Bankietowa: Nowa Przestrzeń na Wielkie Wydarzenia,ŚLĄSKIE,Ruda Śląska,Wolności,45,41-700,347373.94
TOMREST TOMASZ WĄSIAK,Rozszerzenie działalności Restauracji Radiowa w Opolu (woj. opolskie) związane z wprowadzeniem nowych usług dla klientów. - REGION 4,OPOLSKIE,Opole,Strzelców Bytomskich,8,40-084,238098.72
UNI MAX Spółka z ograniczoną odpowiedzialnością,Rozszerzenie profilu działalności przedsiębiorstwa UNIMAX sp. z o.o w ramach oferty hotelowej i gastronomicznej celem uodpornienia się na wypadek przyszłych kryzysów,ŁÓDZKIE,Łódź,św. Teresy od Dzieciątka Jezus,111,91-222,493291.05
CS Poland Centrum-Sport Spółka z ograniczoną odpowiedzialnością,Unowocześnienie bazy usługowej i zwiększenie odporności działalności przedsiębiorstwa poprzez wdrożenie nowych usług gastronomicznych w Regionie 4 w województwie śląskim.,ŚLĄSKIE,Brenna,Wyzwolenia,40,43-438,540000
KASPIO PIOTR WRÓBEL,Zwiększenie odporności firmy KASPIO na przyszłe kryzysy poprzez dywersyfikację oferty produktowej.,ŁÓDZKIE,Nowy Józefów,,4,97-212,217991.39
KOF 2 S.C. TOMASZ PETNIAKOWSKI," PRZEMYSŁAW PAMUŁA,Rozszerzenie działalności lokalu KAZAMATY Pub & Restaurant w Nysie, woj. opolskie",Opolskie,Tychy,Sienkiewicza,7,48-100,539999.99
"Zygmunt Jaguś Firma Handlowa ""MARK""","Zwiększenie odporności na sytuacje kryzysowe restauracji Gościniec Jaguś w Staniszczach Wielkich, woj. opolskie, poprzez dywersyfikację świadczonych usług- region 4",OPOLSKIE,Staniszcze Wielkie,Kościelna,2,47-113,536025.34
HOTEL ASPEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności HOTEL ASPEN SPÓŁKA Z OGRANICZONĄODPOWIEDZIALNOŚCIĄ (region 4 - woj. opolskie) związane z wprowadzeniem nowych usług dla klientów.,OPOLSKIE,Opole,Budowlanych,64,45-123,531940.13
GEMINI EDYTA SENDER,Zwiększenie odporności firmy GEMINI Edyta Sender z woj. łódzkiego na sytuacje kryzysowe pojawiające się w gospodarce dzięki dywersyfikacji świadczonych usług,ŁÓDZKIE,Lućmierz,,14,95-100,534935.59
OPAL TOUR TOMASZ WAWRZYŃCZAK,"Dywersyfikacja oferty OPAL TOUR TOMASZ WAWRZYŃCZAK, celem redukcji negatywnych skutków pandemii COVID-19.",ŁÓDZKIE,Łódź,Łagiewnicka,54/56,91-463,474256.34
Małgorzata Maćkowiak 1) Firma usługowo-handlowa," 2) Centrum Restauracyjno-hotelowe Florres,Zwiększenie odporności przedsiębiorstwa na kryzysy zewnętrzne poprzez stworzenie nowych usług , jako dywersyfikacja działalności w województwie opolskim",OPOLSKIE,Pawłowiczki,Wyzwolenia,61,47-280,539407.51
"DWOREK "" POD LIPAMI "" MAŁGORZATA DREWNIOK",Zwiększenie odporności na kryzysy gospodarcze oraz rozwój przedsiębiorstwa poprzez realizację przedsięwzięcia w sektorze HoReCa polegającego na rozszerzeniu działalności restauracyjnej realizowanego w Regionie 4 w województwie śląskim.,ŚLĄSKIE,Katowice,pl. Plac Pod Lipami,1,40-476,248606.1
OSTRAWA FIRMA GASTRONOMICZNO-HANDLOWA S.C. BĄK DANUTA," BĄK-ACHTELIK MARZENA, ACHTELIK DARIUSZ,Rozszerzenie działalności dzięki wdrożeniu nowej usługi na terenie województwa śląskiego",ŚLĄSKIE,Wodzisław Śląski,ks. płk. Wilhelma Kubsza,28,44-300,231843.74
"PRYWATNE PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""ANDREA"" ANDRZEJ KAMIŃSKI"," OŚRODEK ""ZACISZE"",Dywersyfikacja oferty usługowej w regionie łódzkim poprzez realizację projektu",ŁÓDZKIE,Wieluń,Bartosza Głowackiego,3,98-300,464741.9
ZIELONA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie zakresu usług restauracji Zielona Restauracja,ŁÓDZKIE,Łódź,Drewnowska,58,91-002,349734.6
MR PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja usług Hotelu Magiczny Zakątek poprzez rozpoczęcie świadczenia usług wypożyczenia dmuchańców oraz namiotu na imprezy plenerowe Subregionu Kędzierzyńsko-Kozielskiego,OPOLSKIE,Raszowa,Młyńska,11,47-150,281616.88
Przedsiębiorstwo Handlowo-Usługowe Agnieszka Żurakowska ,Rozwój Usług Cateringowych i Wypożyczalni Rowerów: Kompleksowa Obsługa Wydarzeń i Aktywności Rekreacyjnych w Subregionie Południowym,OPOLSKIE,Prudnik,Wiejska,22,48-200,420282.68
HMZ Mariusz Stania i Marian Tkaczyk Spółka Cywilna,Nowa restauracja Włoska na terenie powiatu strzeleckiego.,OPOLSKIE,Raszowa,Młyńska,11,47-150,530024.02
HOTEL ALEXANDRA A. CZECH,"K.SKLORZ-KOWALSKA SPÓŁKA JAWNA,Wprowadzenie nowych usług świadczonych przez Hotel Aleksandra A.Czech, K.Sklorz-Kowalska Spółka Jawna w Borkach Małych w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych oraz wartości niematerialnych i prawnych.",OPOLSKIE,Olesno,Wielkie Przedmieście,35,46-300,422240.35
ABSTRAKCJA JANUSZ ŚLIWKA,Zwiększenie odporności przedsiębiorstwa na kryzysy gospodarcze oraz rozwój przedsiębiorstwa poprzez realizację przedsięwzięcia polegającego na rozszerzeniu i dywersyfikacji działalności w zakresie usług i produktów gastronomicznych oraz usług wypożyczania rowerów i sportowego sprzętu wodnego w połączeniu ze szkoleniem realizowanego w Regionie 4 w województwie śląskim.,ŚLĄSKIE,Tychy,al. Aleja Jana Pawła II,10,43-100,348517.44
BIZNES & MEDIA Bartosz Tyszkiewicz,Edukacja Dla Bezpieczeństwa - dywersyfikacja działalności poprzez wprowadzenie nowych usług w ofercie firmy w regionie 4 w województwie śląskim.,ŚLĄSKIE,Knurów,Dworcowa,38a,44-190,272779.76
VILLA ANTIQUA RAMONA WEISER-LUDZIEJEWSKA,Bistro Villa - regionalne smaki w nowoczesnym wydaniu,ŚLĄSKIE,Racibórz,Piotrowska,16,47-400,268603.43
BIURO PODRÓŻY SŁONECZNA PRZYGODA KRZYSZTOF KASSNER KATARZYNA KASSNER SPÓŁKA CYWILNA,"Wieloaspektowa dywersyfikacja usług Biura Podróży Słoneczna Przygoda Krzysztof Kassner, Katarzyna Kassner S.C. - województwo Łódzkie : poprzez wprowadzenie nowej oferty produktów oraz bazy dla aktywnej turystyki dla różnych grup odbiorców, zgodnej z trendami zrównoważonego rozwoju -połączona z transformacją cyfrową działań marketingowych oraz szkoleniem kadry, mających na celu dotarcie do nowych klientów i zwiększenie odporności firmy na przyszłe wyzwania.",ŁÓDZKIE,Piła,Kilińskiego,6,64-920,538200
SFD ANETA MUSIOŁ,Rozszerzenie i dywersyfikacja działalności poprzez utworzenie linii produkcyjnej wysokojakościowej kawy przez przedsiębiorstwo SFD ANETA MUSIOŁ w region 4województwo śląskie,ŚLĄSKIE,Racibórz,Ocicka,7,47-400,540000
POZIOM 511 sp. z o.o.,"Rozszerzenie i dywersyfikacja usług świadczonych przez Poziom 511 sp. z o.o. w oparciu o nowe i rozszerzone usługi a także inwestycje w rozwiązania cyfrowe, proekologiczne i rozwojowe podnoszące konkurencyjność firmy i zwiększające odporność na wypadek kolejnych kryzysów - realizowane w woj. śląskim - Region 4 - województwa łódzkie, opolskie, śląskie,",ŚLĄSKIE,Podzamcze,Bonerów,33,42-440,533664.81
GASTRO TESORO SEBASTIAN PAPIEROWSKI,Dywersyfikacja działalności zlokalizowanego w województwie śląskim przedsiębiorstwa poprzez wprowadzenie nowej formy realizacji usług gastronomicznych.,ŚLĄSKIE,Katowice,Tysiąclecia,90,40-871,358034.07
"DAMIAN BUDNY ZAJAZD ""MAT""",Dywersyfikacja działalności oraz wprowadzenie nowatorskiego dla firmy sposobu świadczenia usług cateringowych sposobem na wzmocnienie odporności przedsiębiorstwa. Przedsięwzięcie realizowane na terenie woj. śląskiego ( region 4 ),ŚLĄSKIE,Bełk,Wolności,1,44-230,536622.13
Soul of Taste spółka cywilna,"Dywersyfikacja działalności przedsiębiorstwa Soul of Taste s.c. mająca na celu wprowadzenie usługi noclegowej ""EkoRelax & Fun Resort"" z dostępem do terenu rekreacyjnego na który składać się będzie basen, sauna, balia do morsowania z hydromasażem i teren zielony do odpoczynku w miejscowości Dobków w województwie łódzkim – region 4",ŁÓDZKIE,Łódź,al. Ks. Kardynała Stefana Wyszyńskiego,111,94-054,538724.43
Maria Łuczak - Biuro Podróży Polonia,Dywersyfikacja działalności firmy z branży turystycznej w celu zwiększenia odporności i gotowości przedsiębiorstwa na wypadek wystąpienia sytuacji kryzysowych,ŚLĄSKIE,Wieruszów,Warszawska,48,98-400,358655.02
"Ewa Godyla Przedsiębiorstwo Wielobranżowe ""EWA""","Dywersyfikacja usług w Pałacu Pawłowice w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych i utworzenie zewnętrznej strefy SPA i rekreacji.",OPOLSKIE,Kujakowice Górne,Miodowa,3,46-211,539974.23
"Zakład Gastronomiczno Handlowy ""Zajazd u Hermanów"" Marcin Herman","Usługa cateringu szansą na dywersyfikację działalności oraz wzmocnienie dla Zakładu Gastronomiczno Handlowego ""Zajazd u Hermanów"" w regionie czwartym tj. w województwach łódzkim, opolskim oraz śląskim.",ŚLĄSKIE,Olsztyn,Kazimierza Wielkiego,9,42-256,227947.27
GRZEGORZ KAMPKA,Wdrożenie nowych produktów w przedsiębiorstwie z branży gastronomicznej,ŚLĄSKIE,Racibórz,Mikołowska,1,47-400,540000
ALKAT S.C. Alicja Lazar-Biela," Katarzyna Lazar,Rozszerzenie usług gastronomicznych o usługi cateringowe, unowocześnienie infrastruktury hotelowej oraz gastronomicznej obiektu noclegowego Stary Młyn w Żorach w województwie Śląskim.",ŚLĄSKIE,Żory,Męczenników Oświęcimskich,20,44-240,262430.81
"BARBARA BADORA PH ""B-K""",Wprowadzenie usługi wynajmu rowerów celem dywersyfikacji działalności przedsiębiorstwa,ŚLĄSKIE,Woźniki,Asfaltowa,188,42-289,260667
ESKIMOSKI Paulina Busz,WZMOCNIENIE POZYCJI KONKURENCYJNEJ PRZEDSIĘBIORSTWA ESKIMOSKIPOPRZEZ DYWERSYFIKACJĘ PROFILU DZIAŁALNOŚCI,ŚLĄSKIE,Bielsko-Biała,Jachtowa,71,43-300,299596.08
Serwis Gastronomiczny Sabina Cul,"Dywersyfikacja działalności firmy Serwis Gastronomiczny Sabina Cul w zakresie wprowadzenia usługi obsługi gastronomicznej imprez plenerowych poprzez realizację przedsięwzięć inwestycyjnych, szkoleniowych, doradczych, wzmacniające odporność na wypadek sytuacji kryzysowych w sektorze - województwo Śląskie, region nr. 4.",ŚLĄSKIE,Bielsko-Biała,Dywizji Kościuszkowskiej,7,43-300,232436.96
KB Krzysztof Hankus,"Rozwój oraz dywersyfikacja działalności firmy KB Krzysztof Hankus w zakresie wprowadzenia usługi organizacji i obsługi targów, wystaw i kongresów a także przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering), poprzez realizację przedsięwzięć inwestycyjnych, szkoleniowych, doradczych, wzmacniające odporność na wypadek sytuacji kryzysowych w sektorze - województwo Śląskie, region nr.4.",ŚLĄSKIE,Bielsko-Biała,Leszczyńska,40,43-300,466028.9
Restauracja AMARO ANNA NIKIEL,"Dywersyfikacja działalności Restauracja ""AMARO"" ANNA NIKIEL i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług z zakresu cateringu.",ŚLĄSKIE,Orzesze,św. Wawrzyńca,11,43-180,379781.76
Wanilia Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,Dywersyfikacja działalności firmy Wanilia Sp. z o. o. Sp. k. i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usługi cateringu i sprzedaży z przyczep gastronomicznych,ŁÓDZKIE,Łódź,Helska,42,91-342,527110.19
Expert ET Daniel Prysak,Dywersyfikacja usług w przedsiębiorstwie Expert ET Daniel Prysak w województwie śląskim,ŚLĄSKIE,Częstochowa,Jana Lechonia,13,42-229,366383.46
Warsztat Smaku Kamil Skowron,"Rozszerzenie działalności firmy ""Warsztat Smaku Kamil Skowron"" i zwiększenie grupy odbiorców usług poprzez zakup nowoczesnego, energooszczędnego sprzętu gastronomicznego oraz utworzenie nowej, dostępnej strony internetowej - region śląski.",ŚLĄSKIE,Bystra,Klimczoka,105,43-360,87300
GASTRO KERN SEBASTIAN,Wprowadzenie nowej oferty gastronomicznej polegającej na stworzeniu mobilnych stanowisk gastronomicznych wraz z miejscami do konsumpcji- sprzedaż dań i deserów podczas różnych imprez plenerowych w województwie opolskim. Dywersyfikacja oferty gastronomicznej firmy jako sposób uodpornienia się na możliwe kryzysy. - REGION 4.,OPOLSKIE,Biedrzychowice,,119,48-250,182057.52
