Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
SALA BANKIETOWA BIANCO BEATA GRYGLAS,"Dywersyfikacja działalności kuchni Sali Bankietowej Bianco w Barczącej, unowocześnienie bazy usługowej i wprowadzenie nowej usługi kateringu przemysłowego w woj. mazowieckim.",MAZOWIECKIE,Barcząca,Prosta,3,05-300,346936.8
UNIVERSUM," PAWEŁ BERENT,Dywersyfikacja działalności UNIVERSUM, PAWEŁ BERENT i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług w zakresie wypożyczania i dzierżawy sprzętu rekreacyjnego i sportowego wraz z organizacją eventów (targów i wystaw) - Region 2 - województwo mazowieckie",MAZOWIECKIE,Mława,Długa,22,06-500,503787.54
PIKNIK - MACIEJ KLIMEK,"Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa ""PIKNIK"" - Maciej Klimek polegające na uruchomieniu PAPA'S CAFE - pierwszej śniadaniowni w Grodzisku Mazowieckim.",MAZOWIECKIE,Grodzisk Mazowiecki,W. Bartniaka,26,05-825,539983.95
DWÓR POD KASZTANOWCAMI GRAŻYNA URBAŃSKA-KLECHA,Zwiększenie odporności Dworu pod Kasztanowcami poprzez dywersyfikację działalności o nową usługę (catering) w województwie mazowieckim,MAZOWIECKIE,Wiejca,,74,05-085,414605.52
DARIUSZ GAŁACHOWSKI Cukiernia z Klonowej,Dywersyfikacja działalności Cukierni z Klonowej poprzez wprowadzenie usług cateringowych – Region 2,MAZOWIECKIE,Siedlce,Józefa Piłsudskiego,19,08-110,265410
SOFRA RENATA CHĄDZYŃSKA ZIEMAK,"Zwiększenie odporności przedsiębiorstwa MŚP na nieprzewidziane sytuacje kryzysowe. Wdrożenie nowych usług cateringowo - eventowych, zakup niezbędnych energooszczędnych urządzeń kuchennych i wyposażenia, zakup instalacji wentylacyjnej, zakup pompy ciepła do podgrzewania wody oraz wdrożenie gospodarki obiegu zamkniętego w firmie SOFRA RENATA CHĄDZYŃSKA ZIEMAK w Markach w województwie mazowieckim.",MAZOWIECKIE,Marki,Marszałka Józefa Aleja Marszałka Józefa Piłsudskiego,1,05-270,177084.44
Catering Siekierka - Bartosz Siekierka,"Przedsięwziecie związane z dywersyfikacją przedsiębiorstwa poprzez wprowadzenie i uruchomienie nowego kodu PKD 56.10.B w działalności firmy w postaci mobilnych wózków gastronomicznych, wykorzystywanych do sprzedaży gotowych produktów żywnościowych. Przędsięwzięcie oparte jest również o element zielonej energii, dzięki zainstalowanym panelom fotowoltaicznym o mocy 410 WP na każdym z wózków gastronomicznych wraz z bankiem energii.",MAZOWIECKIE,Warszawa,gen. Tadeusza Bora-Komorowskiego,14,03-982,490060.7
DWÓR MYSTKOWO JACEK ŻABIK,Dywersyfikacja i rozszerzenie działalności hotelu Dwór Mystkowo w województwie mazowieckim poprzez inwestycje umożliwiające stworzenie nowej oferty usługowej hotelu,MAZOWIECKIE,Mystkowo,,22,09-130,453767.4
WARSAW DISPATCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja przedsiębiorstwa Warsaw Dispatch poprzez nowe usługi wynajem i dzierżawę żaglówek ( TISE S.A.) - mazowieckie,MAZOWIECKIE,Warszawa,Nowy Świat,41a,00-042,523104.5
"FIRMA HOTELARSKO - GASTRONOMICZNA ""GASTRO - POL"" JOLANTA SOBASZEK",Dywersyfikacja działalności FH-G „GASTRO-POL” Jolanta Sobaszek w województwie mazowieckim poprzez rozszerzenie oferty o catering produktów garmażeryjnych,MAZOWIECKIE,Stefanów,,2c,09-500,81810
MULTICONCEPT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Kuchnia włoska i kino - dywersyfikacja działalności firmy Multiconcept poprzez wprowadzenie nowej oferty w postaci organizacji projekcji filmowych połączonych z ofertą gastronomiczną pod nazwą CinemaGusto,MAZOWIECKIE,Warszawa,Franciszka Klimczaka,1,02-797,509743.46
MICHAŁ WESOŁOWSKI COACH & ATHLETE,"Nowe usługi: organizowanie obozów sportowych, zajęć gimnastycznych, kursów sztuk walki, prowadzenie szkoleń i kursów dla instruktorów sportu, nauczycieli i trenerów jako dywersyfikacja działalności MICHAŁ WESOŁOWSKI COACH & ATHLETE w Ełku w województwie warmińsko-mazurskim.",WARMIŃSKO-MAZURSKIE,Ełk,Tadeusza Kościuszki,26A,19-300,523721.14
HARMONIA MUNDI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności Harmonia Mundi Sp.z o.o. i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług noclegowych w woj. warmińsko mazurskim -region 2,WARMIŃSKO-MAZURSKIE,Olsztyn,Towarowa,20b,10-417,419940
Cafe Marcus Małgorzata Rychtelska,Rozszerzenie oferty gastronomicznej kawiarni Cafe Marcus w Radomiu - Region 2,MAZOWIECKIE,Radom,Stefana Żeromskiego,39,26-600,342222.3
Kołacz Mateusz Jankowski,"Dywersyfikacja działalności i poprawa konkurencyjności poprzez uruchomienie nowej usługi przygotowywania i dostawy szerokiej gamy posiłków gotowych (obiadów , zup, kanapek, przekąsek oraz świeżych soków ) z wykorzystaniem własnych rzemieślniczych półproduktów piekarniczych i cukierniczych.",MAZOWIECKIE,Nowy Dwór Mazowiecki,Nowołęczna,1,05-100,539500.24
WODNA-OSADA ANNA DEC,Poszerzenie działalności gastronomicznej restauracji Wodna-Osada Anna Dec o funkcje konferencyjno-rekreacyjne,MAZOWIECKIE,Grzegorzewice,Pałacowa,58,96-321,346871
PROSPER S.C. JACEK LEWCZUK," MARIA LEWCZUK,Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci dzierżawy i wypożyczania łodzi żaglowej bez załogi, powodującej wprowadzenie nowego zakresu działalności i zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe- Region 2 Województwo mazowieckie",MAZOWIECKIE,Warszawa,Modlińska,190 A,03-186,469807.87
"BEATA RADKIEWICZ ""BENITEX""","Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci wynajmu pokoi powodującej wprowadzenie nowego zakresu działalności i zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe - Region 2 - województwo mazowieckie",MAZOWIECKIE,Tarczyn,Rynek,38,05-555,530825.92
"BENEDYKTA ŁAPIŃSKA ""ECHO""","Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci cateringu powodującej wprowadzenie nowego zakresu działalności i zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe - Region 2 Województwo mazowieckie",MAZOWIECKIE,Warszawa,Pabla Picassa,2,03-126,278309.63
VENGO DMC POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie i dywersyfikacja bazy usług Vengo DMC Poland sp. z o. o. z elementami cyfryzacji dzięki pomocy finansowej dla MŚP prowadzących działalność w sektorze hotelarstwa, gastronomii, turystyki lub kultury w ramach Inwestycji A1.2.1 KPO z regionu nr 2 obejmującego województwa: mazowieckie, podlaskie, warmińsko-mazurskie.",MAZOWIECKIE,Warszawa,Ratuszowa,11,04-450,143660.15
MOMAG EVENTS GRZEGORZ ZYCH,Wprowadzenie nowej oferty mobilnych usług rekreacyjnych z wdrożeniem procedur ich świadczenia oraz przeszkoleniem personelu w celu dywersyfikacji działalności i wzrostu odporności na zmiany w otoczeniu biznesowym.,MAZOWIECKIE,Wołomin,1 Maja,54,05-200,251373.01
LEDER-POL PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWO - USŁUGOWE Antoni Winnicki,"Dywersyfikacja i uodpornienie działalności P. PPHU Leder – Pol Antoni Winnicki w regionie województwa mazowieckiego, poprzez wprowadzenie nowych usług organizacji spotkań i konferencji oraz rozszerzenie oferty poprzez stworzenie nowego lokalu restauracyjno-konferencyjnego oferującego menu kuchni japońskiej i wprowadzenie nowych kanałów sprzedaży celem zwiększenia konkurencyjności i odporności w branży HoReCa",MAZOWIECKIE,Radom,Stefana Żeromskiego,63,26-600,539989.2
ANNA ŁUNIEWSKA,"Dywersyfikacja działalności w ramach A1.2.1 Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności. Projekt pt. "" Wypożyczalnia eBike Anna Łuniewska""",MAZOWIECKIE,Marki,Józefa Sowińskiego,10d,05-270,539889.09
ZAMEK OKI DOKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zwiększenie odporności poprzez stworzenie nowych usług - wypożyczanie sprzętu turystycznego, unowocześnienie obiektu i zastosowanie technologii cyfrowych (Warszawa, województwo mazowieckie).",MAZOWIECKIE,Warszawa,Świętojańska,2,00-288,325110.55
LA FINESTRA SPÓŁKA CYWILNA,Dywersyfikacja działalności firmy La Finestra spółka cywilna w obszarze cateringu dietetycznego dla dzieci na terenie województwa mazowieckiego,MAZOWIECKIE,Warszawa,Grójecka,46/50,02-320,422617.5
KARTKA KATARZYNA KANABUS,"Dywersyfikacja działalności Kartka Katarzyna Kanabus, prowadzonej w Regionie 2 woj. mazowieckie.",MAZOWIECKIE,Marki,Kolorowa,17,05-270,411244.83
"BIURO PROMOCJI EXPORTU ""EURO TARGI"" TERESA PRONDZINSKA","Dywersyfikacja działalności PKD82.30Z poprzez wprowadzenie nowej usługi PKD77.21.Z wypożyczanie Jachtu Zakup usługi szkoleniowej i doradczej poszerzy się rynek obecnych odbiorcówB2B o nowych klientów indywidualnych Transformacja cyfrowa tj ulepszenie systemów informatycznych obsługi klienta możliwość pracy zdalnej sklep internetowy związane z przedsięwzięciem wpłynie na uodpornienie zwiększenie sprzedaży i ograniczenie ryzyk związanych z przyszłymi możliwymi kryzysami, Region 2 woj. mazowieckie",MAZOWIECKIE,Warszawa,Jagiellońska,78,03-301,539918.43
APERTA GROUP ALICJA NOWAKOWSKA,Zwiększenie odporności firmy APERTA GROUP ALICJA NOWAKOWSKA poprzez realizację inwestycji w regionie mazowieckim w celu dywersyfikacji działaności w kierunku przygotowywania i dostarczania żywności w formie cateringu zewnętrznego oraz świadczenia usługi ruchomej placówki gastronomicznej związanej ze sprzedażą lodów,MAZOWIECKIE,Warszawa,Majdańska,1,04-088,352289.01
BAZAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności Bazar Sp. z o.o., prowadzonej w Regionie nr 2 - województwo mazowieckie.",MAZOWIECKIE,Warszawa,Stefana Okrzei,26,03-710,398198.97
SZUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności restauracji Szum o katering,MAZOWIECKIE,Warszawa,Karolkowa,30,01-207,539806.69
MMW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności prowadzonej przez MMW Sp. z o.o.,MAZOWIECKIE,Wilga,Stawowa,9,08-470,511096.41
KARCZMA KOSZARKA Ewa Gawryluk,"Rozszerzenie działalności poprzez wdrożenie usługi wynajmu houseboata dla klientów indywidualnych (KOD PKD: 77.34.Z Wypożyczanie i dzierżawa środków transportu wodnego) w miejscowości Augustów, w gminie Augustów, w powiecie augustowskim, w województwie podlaskim (region nr 2)",PODLASKIE,Ploski,,201,17-100,529470.22
Browar Palatum Łukasz Kojro,"Dywersyfikacja działalności firmy Browar Palatum Łukasz Kojro poprzez uruchomienie mobilnych punktów gastronomicznych w województwie mazowieckim (region 2) w celu zwiększenia konkurencyjności, produktywności oraz odporności przedsiębiorstwa.",MAZOWIECKIE,Warszawa,Związkowa,44,04-522,430094.75
THAI DUONG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności przedsiębiorstwa THAI DUONG sp. z o.o. poprzez sprzedaż żywności azjatyckiej w food trucku, w ramach inwestycji A1.2.1 dla regionu nr 2.",MAZOWIECKIE,Warszawa,al. Aleje Jerozolimskie,87,02-001,433474.11
"MAREK MICHNIEWICZ NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""IMPULS""","Rozszerzenie działalności przedsiębiorcy MAREK MICHNIEWICZ NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""IMPULS""",WARMIŃSKO-MAZURSKIE,Spychowo,Mazurska,22,12-150,528190.25
"CENTRUM KONFERENCYJNO-APARTAMENTOWE ""MRÓWKA"" Marta Mrówka",Modernizacja sposobu świadczenia usług oraz rozszerzenie usług o wypożyczalnię rowerów w Centrum Konferencyjno-Apartamentowym Mrówka sposobem na podniesienie odporności na sytuacje kryzysowe oraz podniesienie jakości usług turystycznych w woj. Mazowieckim,MAZOWIECKIE,Warszawa,Przekorna,33,02-971,404648.39
Bogusław JAKUBOWSKI ASH 33,ZWIĘKSZENIE KONKURENCYJNOŚCI I ODPORNOŚCI NA POTENCJALNE SYTUACJE KRYZYSOWE KLUBOKAWIARNI PARADOX CAFE POPRZEZ WPROWADZENIE NOWYCH USŁUG.,MAZOWIECKIE,Warszawa,Mordechaja Anielewicza,2,00-157,178380.72
OCZYSZCZALNIA MIEJSCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Nowe kierunki rozwoju i dywersyfikacji usług firmy Oczyszczalnia Miejsce Sp. z o.o. w wojewódzkie mazowieckim w ramach zwiększania konkurencyjności gospodarki i wspierania przedsiębiorstw (Region 2),MAZOWIECKIE,Ludwików,,26A,96-515,539787.04
TAJEMNICA SZCZĘŚCIA - DOMINIK SOBIECKI,Wzrost odporności i konkurencyjności firmy TAJEMNICA SZCZĘŚCIA - DOMINIK SOBIECKI,MAZOWIECKIE,Warszawa,Eugeniusza Lokajskiego,16,02-793,533967.7
MEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,DYWERSYFIKACJA DZIAŁALNOŚCI MEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Antoniego Fontany,26,01-885,535359
STAREVENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozwój i dywersyfikacja działalności StarEvents sp z o o poprzez zakup sprzętu wodnego do nowo powstającej wypożyczalni on-line, jak i do organizacji imprez firmowych w obiektach hotelowo-konferencyjnych w regionie Mazowsze. Projekt obejmuje nabycie wyposażenia w celu poszerzenia oferty o nowe usługi związane ze sportami wodnymi, stworzenie wypożyczalni wodnego sprzętu elektrycznego oraz wiosłowego, organizację eventów związanych z rozrywką na wodzie przy użyciu ekologicznego sprzętu.",MAZOWIECKIE,Warszawa,Niedźwiedzia,29 B,02-737,407863.89
POP GYM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zakup i instalacja kortu do squasha wraz z interaktywnym systemem edukacji sportowej w klubie sportowym PopGym, region 2, województwo mazowieckie.",MAZOWIECKIE,Radom,Witolda,7,26-600,539994.42
SEAFARMERS GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja i rozszerzenie działalności przedsiębiorstwa ""SEAFARMERS GROUP SP. Z O.O."" w regionie Mazowsza (Region 2) poprzez wprowadzenie nowej usługi - wynajmu motorówek",MAZOWIECKIE,Warszawa,Bakalarska,15B,02-212,539398.31
SPORTFOOD Paweł Bachanek,Dywersyfikacja działalności SPORTFOOD Paweł Bachanek (Region 2 - województwo mazowieckie) celem rozwoju firmy i uodpornienia jej na przyszłe kryzysy,MAZOWIECKIE,Marki,,5C,05-270,539254.8
GALAREDO MARCIN GĄSIOROWSKI,"Dywersyfikacja i rozszerzenie działalności przedsiębiorstwa ""Galaredo Marcin Gąsiorowski"" poprzez świadczenie nowej usługi: wynajmu sprzętu sportowo-rekreacyjnego w postaci motorówek na zlewisku Narwi i Wisły (Region 2, województwo mazowieckie, powiat nowodworski).",MAZOWIECKIE,Skierdy,,7,05-101,539398.31
KRZYSZTOF RYFKA ELTEC,Rozszerzenie działalności firmy Krzysztof Ryfka ELTEC w zakresie wprowadzenia usługi wypożyczania i dzierżawy sprzętu wodnego na terenie województwa mazowieckiego poprzez zakup nowoczesnego wyposażenia inwestycyjnego oraz realizację usługi doradczej i szkoleniowej.,MAZOWIECKIE,Warszawa,Gabriela,2,01-347,410474.05
BIZNES PLANET," TANDOORI SPICES NOWSHAD H BABU,Dywersyfikacja działalności firmy poprzez wprowadzenie nowych usług cateringowych – region 2: woj. mazowieckie.",MAZOWIECKIE,Warszawa,Józefa Mehoffera,26,03-031,180769.7
FRESH ROLL SUSHI ŁUKASZ ANTOCHÓW I TOMASZ STĘPIEŃ SPÓŁKA CYWILNA,"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę SMAKI SUSHI i FRESH ROLL SUSHI w ramach projektu realizowanego w województwie mazowieckim (region 2) zmierzających do rozszerzenia działalności i wprowadzenia nowych usług.",MAZOWIECKIE,Warszawa,Oś Królewska,18,02-972,376520.17
MARINERO RESTAURANT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"Dywersyfikacja działalności firmy MARINERO RESTAURANT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA poprzez wdrożenie usługi wynajmu kabinowej łodzi rekreacyjnej z napędem elektrycznym, (woj.mazowieckie)",MAZOWIECKIE,Warszawa,Wilcza,19,00-544,533849.4
AGENCJA CATERINGOWA PARTY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dostosowanie powierzchni użytkowej do produkcji i sprzedaży gotowych zestawów posiłkowych.,MAZOWIECKIE,Warszawa,Rakowiecka,36,02-532,407917.9
"STANISŁAW KOC ""RONI""",Dywersyfikacja działalności firmy w zakresie wprowadzenia usługi cateringu i organizacji event'ów plenerowych na terenie województwa mazowieckiego poprzez zakup niezbędnego wyposażenia oraz realizację usługi doradczej i szkoleniowej.,MAZOWIECKIE,Ząbki,Ceglana,2,05-091,511767.34
PAZOLA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności PAZOLA Sp. z o.o. dzięki dofinansowaniu w ramach Krajowego Planu Odbudowy i Zwiększania Odporności woj. mazowieckiego.,MAZOWIECKIE,Warszawa,Sarmacka,17,02-972,517274.96
FASTOS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie oferty Spektrum Sportu poprzez wprowadzenie nowej usługi, polegającej na organizacji zajęć sportowych z gry w padla.",MAZOWIECKIE,Warszawa,Orłów Piastowskich,60a,02-496,491040
Ryn Marina Łukasz Borsuk,Dywersyfikacja działalności poprzez inwestycje dla przedsiębiorstw w produkty w Ryn Marina Łukasz Borsuk w województwie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Ryn,,17,11-520,534000
Firma Handlowo Usługowa DREMEDIUM Krzysztof Drężek,Dywersyfikacja i rozszerzenie działalności firmy Firmy Handlowo Usługowej DREMEDIUM Krzysztof Drężek w województwie mazowieckim,MAZOWIECKIE,Myszyniec,Dzieci Polskich,2,07-430,498049
SOLARIUM Wiesław Mazur,"Przedsięwzięcie MŚP oparte jest o rozszerzenie profilu działalności firmy SOLARIUM WIESŁAW MAZUR w celu dywersyfikacji biznesowej przedsiębiorstwa oraz podniesienia odporności przedsiębiorstwa na wypadek kolejnych kryzysów w sektorze, poprzez zakup nowoczesnych i mobilnych ekspresów kawowych.",MAZOWIECKIE,Góra Kalwaria,Pijarska,1A,05-530,539399.98
"GIOVANNI JAN SMERECZYŃSKI oraz wspólnik spółki cywilnej ""GIOVANNI BIS ""","Zwiększenie odporności firmy ""GIOVANNI"" JAN SMERECZYŃSKI oraz wspólnik spółki cywilnej ""GIOVANNI BIS "" na zdarzenia kryzysowe poprzez wprowadzenie do działalności nowej usługi gastronomicznej na terenie województwa mazowieckiego.",MAZOWIECKIE,Warszawa,Krakowskie Przedmieście,37,00-071,536759.58
"PRZEDSIĘBIORSTWO TRANSPORTOWE "" TRANS - LIS"" Lisek Grażyna","Dywersyfikacja działalności w firmie Przedsiębiorstwo Transportowe ""TRANS - LIS"" Lisek Grażyna poprzez wdrożenie nowych usług (Region2)",MAZOWIECKIE,Trablice,,78,26-624,538758
BESPOKE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA,Wirtualne mazowieckie studio turystyki kulturalno - rozrywkowej - Culture Space Studio,MAZOWIECKIE,Warszawa,Goplańska,6A,02-954,514718.1
"PIOTR WILGA ""Wilga Catering""","Dywersyfikacja działalności firmy ""Wilga Catering"" w celu zwiększenia odporności na sytuacje kryzysowe w województwie mazowieckim poprzez wprowadzenie nowej usługi diety pudełkowej z dowozem",MAZOWIECKIE,Rusiec,Bursztynowa,19,05-830,420187.5
FLIS," PIERZCHAŁA SPÓŁKA JAWNA,Dywersyfikacja działalności oraz stworzenie hotelowej wypożyczalnii rowerów elektrycznych rozszerzającej ofertę usług Hotelu Afrodyta Business & SPA w Regionie 2 - Mazowsze",MAZOWIECKIE,Tartak Brzózki,Letniskowa,4a,96-325,536948
POL FLAVOUR TOMASZ JANIAK,Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Pol Flavour z Kuznocina w pow. sochaczewskim na Mazowszu polegające na uruchomieniu innowacyjnej restauracji z autentyczną włoską kuchnią.,MAZOWIECKIE,Kuznocin,,27,96-500,520223.17
PARK KAJETANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja i rozszerzenie działalności Parku Kajetany Sp. z o.o. szansą do pozyskania szerszej grupy klientów dla oferowanych usług.,MAZOWIECKIE,Kajetany,Mokra,7,05-830,131493.6
"PPHU OŚRODEK WCZASOWY ""MEXICANA"" S.C. SOWIŃSKA MARIA","BEDNARCZYK MAŁGORZATA,Zwiększenie odporności P.P.H.U. OSRODEK WCZASOWY ""MEXICANA"" SPÓŁKA CYWILNA na sytuacje kryzysowe dzięki dywersyfikacji działalności",MAZOWIECKIE,Chlewiska,Leśna,1,26-510,539694
WARSZAWSKA KOMPANIA HANDLOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie działalności firmy Warszawska Kompania Handlowa spółka z ograniczoną odpowiedzialnością działającej ,na terenie województwa mazowieckiego i wprowadzenie nowego produktu w postaci oferty gastronomicznej związanej z przygotowaniem posiłków dla gości lokalu El Koktel na miejscu i na wynos.",MAZOWIECKIE,Warszawa,Szpitalna,8,00-031,375975
FAVOTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności FAVOTA Sp. z o.o. prowadzonej w Regionie 2 - województwo mazowieckie,MAZOWIECKIE,Warszawa,Dzięcioła,9G,04-988,378923.03
AGRO-BAŁ SPÓŁKA CYWILNA JAROSŁAW PTACH," JAN MINISZEWSKI,Organizacja zewnętrznego ogródka gastronomicznego z przekryciem namiotowym przy Pałacu w Bałoszycach, region warmińsko-mazurski",WARMIŃSKO-MAZURSKIE,Bałoszyce,,25,14-240,539500
"WERONIKA KARPIESIUK ""WEKA""",Wprowadzenie nowych usług w przedsiębiorstwie WEKA,WARMIŃSKO-MAZURSKIE,Orneta,Braniewska,12,11-130,476159.72
GastroVip usługi gastronomiczne Michał Socha,Rozszerzenie działalności firmy GastroVip usługi gastronomiczne Michał Socha w sektorze HoReCa w regionie mazowieckim poprzez wdrożenie w wyniku projektu innowacyjnych produktów i usług gastronomicznych.,MAZOWIECKIE,Wilhelmów,,28A,05-620,233444.7
"ZAJAZD ""ZŁOTY KARPIK"" JAN PRZYBYLSKI","Dywersyfikacja działalności przedsiębiorstwa z branży gastronomicznej, funkcjonującego na terenie regionu województwa mazowieckiego poprzez działania inwestycyjne w wyposażenie oraz doradztwo i szkolenia, wzmacniająca odporność na kryzysy, jako element odbudowy gospodarki po pandemii",MAZOWIECKIE,Kosów,,74,26-624,109492.65
Girasoli Robert Śmiechowski," Mariusz Śmiechowski spółka cywilna,Dywersyfikacja działalności restauracji Girasoli w Legionowie w województwie mazowieckim",MAZOWIECKIE,Legionowo,Mikołaja Kopernika,2,05-120,379758.69
KRZYSZTOF HENRYK BIEŃKOWSKI ICOUNT,Dywersyfikacja i rozszerzenie działalności firmy ICOUNT poprzez wprowadzenie do oferty imprez sportowych i wynajmu sprzętu sportowego.,MAZOWIECKIE,Warszawa,Michała Oczapowskiego,17,01-843,481025
ALTER-NATIVE JAN KOLASZT,Wdrożenie nowej usługi organizacji i obsługi wydarzeń w formule online i hybrydowej oraz wydarzeń plenerowych przez firmę ALTER-NATIVE Jan Kolaszt z województwa mazowieckiego,MAZOWIECKIE,Radiówek,,15,05-462,502833.6
BoardFans.travel Zuzanna Gruchal,"Dywersyfikacja dotychczasowej działalności firmy celem wprowadzenia nowej usługi o nazwie ""wypożyczalnia sprzętu kitesurfingowego"" pozwalającej na zwiększenie produktywności, konkurencyjności oraz odporności na kryzysy w regionie 2 (mazowieckie)",MAZOWIECKIE,Łomianki Dolne,Kościelna Droga,52f,05-092,224898.7
RECLA MEDIA SYLWIA SADECKA,Zwiększenie odporności firmy Sylwia Sadecka Recla Media poprzez dywersyfikację działalności o nową usługę - wypożyczanie łodzi elektrycznej w województwie mazowieckim.,MAZOWIECKIE,Warszawa,Marcina Kasprzaka,29,01-234,540000
NIEZŁY KOCIOŁ MAŁGORZATA DYRDA,Rozszerzenie działalności usługowej związanej z przygotowywaniem i dostarczaniem żywności dla odbiorców zewnętrznych (katering) poprzez otwarcie stałej placówki gastronomicznej (restauracja/kantyna) w budynku biurowym w Warszawie – region 2,MAZOWIECKIE,Warszawa,Józefa Mehoffera,103,03-158,540000
"AGENCJA ŻEGLARSKA ""KUBRYK"" WOJCIECH CZERWIŃSKI","Dywersyfikacja oferty działalności poprzez wprowadzenie usług rezerwacji noclegów w celu zwiększenia odporności i konkurencyjności na rynku, działanie w województwie mazowieckim, w miejscowości Stara Wieś",MAZOWIECKIE,Książenice,Młodości,2A,05-825,413221.46
U WIELGOŁASKICH SPÓŁKA CYWILNA,Wzmocnienie odporności na przyszłe kryzysy firmy U Wielgołaskich S.C. poprzez inwestycje umożliwiające stworzenie nowej oferty usługowej,MAZOWIECKIE,Chrząszczówka,,20,05-340,512726.4
AMALTEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Rozszerzenie zakresu prowadzonej działalności restauracyjnej o nową usługę w regionie 2 w województwie mazowieckim,MAZOWIECKIE,Warszawa,al. Aleja Jana Pawła II,29,00-867,413906.4
MYRAGE 2015 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Zwiększenie odporności przedsiębiorstwa MYRAGE 2015 Sp. z o.o. Sp. k. poprzez realizację inwestycji w woj. mazowieckim w celu dywersyfikacji działalności w kierunku przygotowywania i dostarczania żywności w formie cateringu zewnętrznego,MAZOWIECKIE,Warszawa,Mińska,25,03-808,530608.19
NEXUS EVENT GROUP Rafał Ratuski,Dywersyfikacja działalności usługowej Nexus Event Group Rafał Ratuski poprzez wprowadzenie nowej usługi wynajmu krótkoterminowego w woj. mazowieckim,MAZOWIECKIE,Mrozy,św. Teresy,10,05-320,495990
